ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
discord-ipas/discord_001_835109805_835109805.ipa,835109805,com.hammerandchisel.discord,13.0,19304,2020-03-13T12:03:32,,,Payload/Discord.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_001_835150982_835150982.ipa,835150982,com.hammerandchisel.discord,13.1,19330,2020-03-17T12:11:22,,,Payload/Discord.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_001_835594790_835594790.ipa,835594790,com.hammerandchisel.discord,18.0,19609,2020-04-17T14:31:12,,,Payload/Discord.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_001_835876880_835876880.ipa,835876880,com.hammerandchisel.discord,21.0,19965,2020-05-11T15:12:08,,,Payload/Discord.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_001_835981052_835981052.ipa,835981052,com.hammerandchisel.discord,22.0,20057,2020-05-24T17:31:48,,,Payload/Discord.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_001_836093637_836093637.ipa,836093637,com.hammerandchisel.discord,22.0,20057,2020-05-24T17:31:48,,,Payload/Discord.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_001_866031310_866031310.ipa,866031310,com.hammerandchisel.discord,230.0,59343,2024-05-17T06:44:00,ptb,discord_ios@230.0.59343+59343,Payload/Discord.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_001_873700369_873700369.ipa,873700369,com.hammerandchisel.discord,274.0,75059,2025-04-04T18:27:04,ptb,discord_ios@274.0.75059+75059,Payload/Discord.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_001_876523849_876523849.ipa,876523849,com.hammerandchisel.discord,289.0,80955,2025-07-18T06:37:32,ptb,discord_ios@289.0.80955+80955,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_001_879790664_879790664.ipa,879790664,com.hammerandchisel.discord,305.0,88474,2025-11-14T19:30:26,ptb,discord_ios@305.0.88474+88474,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
