app_slug,app_name,app_status,platform,rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
discord,Discord,done,ios,<=0.59.x,,medium,1.0,4,812213284,2015-05-13T19:15:24,3.1.10,18953,834579637,2020-02-03T18:56:26,8
discord,Discord,done,ios,0.61.x,,medium,3.2.0,19099,834665919,2020-02-18T17:49:32,20.0,19811,835787821,2020-05-01T17:54:02,8
discord,Discord,done,ios,0.62.x,,medium,21.0,19965,835876880,2020-05-11T15:12:08,87.0,27320,843583012,2021-08-13T00:18:36,8
discord,Discord,done,ios,0.64.x,,medium,88.2,27527,843764890,2021-08-24T07:52:16,106.0,29538,845885357,2021-12-17T15:06:46,16
discord,Discord,done,ios,0.66.x,,medium,109.0,29659,846473402,2022-01-05T18:20:42,132.0,33253,850254827,2022-06-17T14:35:50,4
discord,Discord,done,ios,0.67.x-0.68.x,,medium,133.0,33358,850422831,2022-06-24T16:31:00,162.0,39121,854555328,2023-01-23T12:17:36,7
discord,Discord,done,ios,0.69.x-0.70.x,,medium,163.0,39243,854627233,2023-01-26T23:47:56,190.0,47418,858815116,2023-08-04T14:22:38,7
discord,Discord,done,ios,0.71.x,,medium,191.0,47806,859116718,2023-08-10T23:49:32,245.0,63641,868632088,2024-08-31T00:07:40,9
discord,Discord,done,ios,0.74.x-0.76.x,,medium,246.0,63933,868825701,2024-09-06T22:43:46,279.0,77189,874658173,2025-05-09T06:38:08,42
discord,Discord,done,ios,0.78.x,19.0.0,high,280.0,77565,874850406,2025-05-16T06:36:48,306.1,89123,880053648,2025-11-24T22:28:44,31
discord,Discord,done,ios,0.81.x,19.1.0,high,307.0,89215,880126085,2025-11-26T07:48:16,329.0,100971,885730983,2026-05-15T06:40:04,33
facebook-messenger,Facebook Messenger,done,ios,unknown,,low,,1000,4003333,2011-08-02T21:45:38,91.0,40546824,819099576,2016-10-02T15:12:24,7
facebook-messenger,Facebook Messenger,done,ios,<=0.59.x,,medium,92.0,41023043,819183439,2016-10-08T09:13:24,147.0,84235609,825227473,2017-12-12T09:16:54,7
facebook-messenger,Facebook Messenger,done,ios,unknown,,low,148.0,86952252,825310109,2018-01-08T17:01:12,562.0.0,975021560,885556428,2026-05-19T17:01:04,12
instagram,Instagram,done,ios,unknown,,low,,1.8.7,2948163,2010-09-27T16:39:00,9.7.0,43028597,819447240,2016-11-03T10:43:20,9
instagram,Instagram,done,ios,<=0.59.x,,medium,10.0.0,44114773,819646349,2016-11-17T12:37:44,90.0,150975176,830989899,2019-04-19T17:03:30,6
instagram,Instagram,done,ios,0.60.x,,medium,91.0,151989260,831095391,2019-04-27T03:34:08,105.0,165586599,832184604,2019-08-01T19:22:40,5
instagram,Instagram,done,ios,0.61.x,,medium,106.0,166752244,832266212,2019-08-09T18:53:36,113.0,174653610,832888376,2019-09-26T18:11:26,5
instagram,Instagram,done,ios,unknown,,low,114.0,176133011,832986604,2019-10-04T17:27:40,430.0.0,972915403,885526725,2026-05-16T18:55:26,9
threads,Threads,needs_manual_review,ios,unknown,,low,289.0,489338310,855897532,2023-06-27T23:32:54,431.0.0,979167741,885819877,2026-05-25T02:25:36,12
threads,Threads,needs_manual_review,android,unknown,,low,374.0.0.43.110,504412928,504412928,2025-04-01,382.0.0.51.85,505205644,505205644,2025-05-28,2
threads,Threads,needs_manual_review,android,unknown,,unknown,400.0.0.38.68,507007017,507007017,2025-09-28,430.0.0.46.79,510007506,510007506,2026-05-19,10
meta-horizon,Meta Horizon,needs_manual_review,android,0.78.x,19.0.0,high,287.3.0.33.109,651148422,651148422,2024-10-12,287.3.0.33.109,651148422,651148422,2024-10-12,1
meta-horizon,Meta Horizon,needs_manual_review,android,0.60.x,,medium,341.0.0.17.107,806319963,806319963,2025-10-15,349.2.0.46.104,844730700,844730700,2025-12-16,11
meta-horizon,Meta Horizon,needs_manual_review,android,<=0.59.x,,medium,360.0.0.23.322,892081967,892081967,2026-03-04,372.0.1.34.252,975394013,975394013,2026-05-20,18
