ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,has_native_react_native_marker,has_native_hermes_marker,has_native_jsi_marker,has_native_yoga_marker,cryptid,unknown_reason,next_action,notes,decrypted_evidence,source_ipa_sha256,source_ipa_size,decrypted_dump_sha256,decrypted_dump_size,dump_tool,dump_command,dump_device_context,decrypted_coverage,decrypted_main_cryptid,mach_o_cryptid_summary,remaining_encrypted_appex,remaining_encrypted_non_extension
ipas/coinbase/coinbase_001_879565881_879565881.ipa,879565881,com.vilcsak.bitcoin2,13.41.21,13410021,2025-11-07T23:01:02,,,Payload/Coinbase.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/coinbase/coinbase_001_880359975_880359975.ipa,880359975,com.vilcsak.bitcoin2,13.45.27,13450027,2025-12-04T22:32:52,,,Payload/Coinbase.app/main.jsbundle,96,,0.60.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,1,,,RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable. Decrypted dump analysis: RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is not encrypted; native constant scanning may be possible. Decrypted dump accepted as loaded_app_decrypted with main cryptid 0; source SHA-256 7d0c8c2e93b35e08ba38937e71a3b543db89e78b9ab78f61cc9d7b2a8d1ca4da; dump SHA-256 37c6592ef4de0a48affb7420caef613196f5b67859073c7542e03ca9f7ad6019.,true,7d0c8c2e93b35e08ba38937e71a3b543db89e78b9ab78f61cc9d7b2a8d1ca4da,150709838,37c6592ef4de0a48affb7420caef613196f5b67859073c7542e03ca9f7ad6019,104300009,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.vilcsak.bitcoin2 -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",loaded_app_decrypted,0,"{""counts_by_category"":{""app_extension"":4,""framework_or_dylib"":14,""main_executable"":1},""encrypted_count"":4,""mach_o_count"":19,""unknown_cryptid_count"":0}",Payload/Coinbase.app/PlugIns/NotificationContent.appex/NotificationContent;Payload/Coinbase.app/PlugIns/NotificationService.appex/NotificationService;Payload/Coinbase.app/PlugIns/WidgetConfiguration.appex/WidgetConfiguration;Payload/Coinbase.app/PlugIns/WidgetExtension.appex/WidgetExtension,
ipas/coinbase/coinbase_001_880616115_880616115.ipa,880616115,com.vilcsak.bitcoin2,13.46.88,13460088,2025-12-12T17:07:04,,,Payload/Coinbase.app/main.jsbundle,96,,0.60.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/coinbase/coinbase_001_881544216_881544216.ipa,881544216,com.vilcsak.bitcoin2,14.2.31,14020031,2026-01-16T01:12:06,,,Payload/Coinbase.app/main.jsbundle,96,,0.60.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/coinbase/coinbase_001_885921388_885921388.ipa,885921388,com.vilcsak.bitcoin2,14.19.22,14190022,2026-05-20T22:20:56,,,Payload/Coinbase.app/main.jsbundle,96,,0.60.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,1,,,RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable. Decrypted dump analysis: RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is not encrypted; native constant scanning may be possible. Decrypted dump accepted as loaded_app_decrypted with main cryptid 0; source SHA-256 42091f34e0830e46cab2e9aee34c642bc076d6274dbb5c3fadaa46cd58962237; dump SHA-256 630c465c4ec14fd8dd17fcfc8b7ae2a3b47406650c7d724e224a768223c75759.,true,42091f34e0830e46cab2e9aee34c642bc076d6274dbb5c3fadaa46cd58962237,144533331,630c465c4ec14fd8dd17fcfc8b7ae2a3b47406650c7d724e224a768223c75759,105486062,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.vilcsak.bitcoin2 -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",loaded_app_decrypted,0,"{""counts_by_category"":{""app_extension"":4,""framework_or_dylib"":14,""main_executable"":1},""encrypted_count"":4,""mach_o_count"":19,""unknown_cryptid_count"":0}",Payload/Coinbase.app/PlugIns/NotificationContent.appex/NotificationContent;Payload/Coinbase.app/PlugIns/NotificationService.appex/NotificationService;Payload/Coinbase.app/PlugIns/WidgetConfiguration.appex/WidgetConfiguration;Payload/Coinbase.app/PlugIns/WidgetExtension.appex/WidgetExtension,
ipas/coinbase/coinbase_002_875546596_875546596.ipa,875546596,com.vilcsak.bitcoin2,13.21.10,13210010,2025-06-12T21:27:24,,,Payload/Coinbase.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/coinbase/coinbase_002_877462419_877462419.ipa,877462419,com.vilcsak.bitcoin2,13.31.19,13310019,2025-08-21T21:30:28,,,Payload/Coinbase.app/main.jsbundle,96,,0.77.x,medium,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index marker unstable_enableLogBox is present, DevMenu export is present, and 0.78's experimental_LayoutConformance marker is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/coinbase/coinbase_002_880123654_880123654.ipa,880123654,com.vilcsak.bitcoin2,13.43.26,13430026,2025-11-28T14:52:42,,,Payload/Coinbase.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/coinbase/coinbase_002_880184267_880184267.ipa,880184267,com.vilcsak.bitcoin2,13.44.24,13440024,2025-11-28T17:28:02,,,Payload/Coinbase.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/coinbase/coinbase_003_866714202_866714202.ipa,866714202,com.vilcsak.bitcoin2,12.23.13,12230013,2024-06-14T21:17:08,,,Payload/Coinbase.app/main.jsbundle,96,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
