rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
unknown,,low,,1.8.7,2948163,2010-09-27T16:39:00,9.7.0,43028597,819447240,2016-11-03T10:43:20,9
<=0.59.x,,medium,10.0.0,44114773,819646349,2016-11-17T12:37:44,10.10.0,50667367,821056195,2017-02-23T14:15:16,3
<=0.59.x,16.4.1,medium,58.0,120248682,828138988,2018-08-09T18:31:38,58.0,120248682,828138988,2018-08-09T18:31:38,1
<=0.59.x,16.8.3,medium,89.0,149781277,830905744,2019-04-11T15:07:06,90.0,150975176,830989899,2019-04-19T17:03:30,2
0.60.x,16.8.3,medium,91.0,151989260,831095391,2019-04-27T03:34:08,92.0,152826666,831147993,2019-05-02T18:57:38,2
0.60.x,16.8.6,medium,96.1,157574695,831543078,2019-06-04T22:54:00,105.0,165586599,832184604,2019-08-01T19:22:40,3
0.61.x,16.8.6,medium,106.0,166752244,832266212,2019-08-09T18:53:36,115.0,177195845,833069245,2019-10-10T19:46:46,7
0.61.x,16.10.2,medium,118.0,180988914,833368709,2019-11-01T17:18:24,118.0,180988914,833368709,2019-11-01T17:18:24,1
0.64.x,,medium,177.0,275424340,840589643,2021-02-26T15:39:50,177.0,275424340,840589643,2021-02-26T15:39:50,1
0.69.x-0.70.x,,medium,236.1,372089098,849384047,2022-05-24T23:28:50,236.1,372089098,849384047,2022-05-24T23:28:50,1
0.71.x,,medium,290.1,491279855,858142473,2023-07-03T20:59:36,290.1,491279855,858142473,2023-07-03T20:59:36,1
0.78.x,19.0.0,high,340.0.10,622957927,867327376,2024-07-15T23:38:50,340.0.10,622957927,867327376,2024-07-15T23:38:50,1
0.83.x,19.2.0,medium,385.0.0,748614773,875444719,2025-06-14T08:13:04,385.0.0,748614773,875444719,2025-06-14T08:13:04,1
unknown,,low,430.0.0,972915403,885526725,2026-05-16T18:55:26,430.0.0,972915403,885526725,2026-05-16T18:55:26,1
