ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/instagram/instagram_001_818795448_818795448.ipa,818795448,com.burbn.instagram,9.3.0,38579444,2016-09-09T08:29:54,,,Payload/Instagram.app/main.jsbundle,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,1,No react-native-renderer marker was found. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_002_832101581_832101581.ipa,832101581,com.burbn.instagram,104.0,164599121,2019-07-26T13:33:40,,,Payload/Instagram.app/main.jsbundle,,,0.60.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,1,RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_001_2948163_2948163.ipa,2948163,com.burbn.instagram,,1.8.7,2010-09-27T16:39:00,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_001_816877594_816877594.ipa,816877594,com.burbn.instagram,7.19.1,26398067,2016-03-28T12:45:08,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_002_584942731_584942731.ipa,584942731,com.burbn.instagram,5.0.11,2447659,2014-05-09T19:00:42,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_002_830905744_830905744.ipa,830905744,com.burbn.instagram,89.0,149781277,2019-04-11T15:07:06,,,Payload/Instagram.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,1,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/instagram/instagram_003_813610568_813610568.ipa,813610568,com.burbn.instagram,7.7.2,15484445,2015-09-30T21:36:32,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/instagram/instagram_004_821056195_821056195.ipa,821056195,com.burbn.instagram,10.10.0,50667367,2017-02-23T14:15:16,,,Payload/Instagram.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,1,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/instagram/instagram_005_828138988_828138988.ipa,828138988,com.burbn.instagram,58.0,120248682,2018-08-09T18:31:38,,,Payload/Instagram.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,1,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/instagram/instagram_006_833368709_833368709.ipa,833368709,com.burbn.instagram,118.0,180988914,2019-11-01T17:18:24,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
