rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
<=0.59.x,,medium,1.0,39,822837610,2017-07-07T12:59:34,1.25.1,247,833725635,2019-11-21T09:03:20,4
0.61.x,,medium,1.26.0,253,833786604,2019-12-16T20:09:26,1.31.2,296,836164309,2020-05-27T13:49:32,12
0.62.x,,medium,1.32.0,302,836442203,2020-06-15T12:05:24,1.34.1,320,837547978,2020-08-27T10:45:46,7
0.63.x,,medium,1.35.0,325,837781672,2020-09-10T13:42:52,1.41.1,349,841259138,2021-04-07T12:14:00,10
0.64.x,,medium,1.42.0,353,841478527,2021-04-15T16:28:10,1.46.0,368,843629408,2021-08-13T12:21:12,8
0.65.x,,medium,1.47.0,374,844637735,2021-10-10T08:35:16,1.47.2,377,844924001,2021-10-24T13:31:00,3
0.66.x,,medium,1.48.0,380,845352575,2021-11-11T12:27:16,1.48.2,382,846445384,2022-01-06T06:49:16,3
0.67.x-0.68.x,,medium,1.49.0,385,847220233,2022-02-15T17:26:30,1.55.1,423,852228593,2022-09-07T06:01:16,12
0.69.x-0.70.x,,medium,2.0.0,452,854424154,2023-01-13T14:32:46,2.0.0,452,854424154,2023-01-13T14:32:46,1
0.71.x,,medium,2.0.1,455,854822327,2023-02-07T02:13:12,2.18.1,536,867514472,2024-07-17T10:01:20,12
0.74.x-0.76.x,,medium,2.19.0,544,868261170,2024-08-06T17:05:40,2.36.4,712,881734001,2026-01-22T07:13:48,19
0.77.x,,medium,2.37.0,717,882499357,2026-02-02T12:47:32,2.40.0,749,885697976,2026-05-05T16:18:52,9
