ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/mattermost/mattermost_001_833786604_833786604.ipa,833786604,com.mattermost.rn,1.26.0,253,2019-12-16T20:09:26,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_002_834108456_834108456.ipa,834108456,com.mattermost.rn,1.26.1,256,2019-12-20T09:40:42,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_003_834259810_834259810.ipa,834259810,com.mattermost.rn,1.26.2,258,2020-01-07T04:29:34,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_004_834387028_834387028.ipa,834387028,com.mattermost.rn,1.27.0,259,2020-01-14T04:48:36,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_005_834449457_834449457.ipa,834449457,com.mattermost.rn,1.27.1,260,2020-01-20T12:49:24,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_006_834727530_834727530.ipa,834727530,com.mattermost.rn,1.28.0,268,2020-02-13T20:05:40,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_007_835104862_835104862.ipa,835104862,com.mattermost.rn,1.29.0,276,2020-03-11T15:22:32,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_008_835587900_835587900.ipa,835587900,com.mattermost.rn,1.30.0,285,2020-04-16T20:12:52,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_009_835691240_835691240.ipa,835691240,com.mattermost.rn,1.30.1,287,2020-04-24T12:35:20,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_010_835956447_835956447.ipa,835956447,com.mattermost.rn,1.31.0,293,2020-05-13T16:29:24,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_011_836076905_836076905.ipa,836076905,com.mattermost.rn,1.31.1,295,2020-05-24T20:25:40,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_012_836099377_836099377.ipa,836099377,com.mattermost.rn,1.31.1,295,2020-05-24T20:25:40,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_013_836164309_836164309.ipa,836164309,com.mattermost.rn,1.31.2,296,2020-05-27T13:49:32,,,Payload/Mattermost.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/mattermost/mattermost_014_836442203_836442203.ipa,836442203,com.mattermost.rn,1.32.0,302,2020-06-15T12:05:24,,,Payload/Mattermost.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/mattermost/mattermost_015_836581240_836581240.ipa,836581240,com.mattermost.rn,1.32.1,305,2020-06-23T19:28:40,,,Payload/Mattermost.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
