android_package,version_name,version_code,source,source_publish_date,source_publish_date_raw,download_url,package,package_file_type,package_size,supported_abis,split_metadata,manifest_metadata,apk_entries,js_bundle_paths,hermes_markers,react_native_libraries,native_symbol_markers,react_renderer,hbc_version,rn_guess,confidence,evidence_notes
com.oculus.twilight,287.3.0.33.109,651148422,APKPure,2024-10-12,"Oct 12, 2024",https://apkpure.net/meta-horizon/com.oculus.twilight/download/287.3.0.33.109,apks/meta-horizon/meta-horizon_651148422_287.3.0.33.109.apk,APK,80530893,arm64-v8a,APK,,meta-horizon_651148422_287.3.0.33.109.apk,assets/TwilightBundle.js.hbc,,libhermes.so;libhermes_1.so;libhermesinstancejni.so;libjsijnimdcd.so;libjsijniprofiler.so;libreactnativeblob.so;libtwilightjsidelegate.so,,19.0.0,present,0.78.x,high,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermes_1.so, libhermesinstancejni.so, libjsijnimdcd.so, libjsijniprofiler.so, libreactnativeblob.so, libtwilightjsidelegate.so"
com.oculus.twilight,341.0.0.17.107,806319963,APKPure,2025-10-15,"Oct 15, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/341.0.0.17.107,apks/meta-horizon/meta-horizon_806319963_341.0.0.17.107.apk,APK,90473135,arm64-v8a,APK,,meta-horizon_806319963_341.0.0.17.107.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,342.0.0.15.109,809409162,APKPure,2025-10-21,"Oct 21, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/342.0.0.15.109,apks/meta-horizon/meta-horizon_809409162_342.0.0.15.109.apk,APK,91113204,arm64-v8a,APK,,meta-horizon_809409162_342.0.0.15.109.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,343.0.0.11.106,813093980,APKPure,2025-10-28,"Oct 28, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/343.0.0.11.106,apks/meta-horizon/meta-horizon_813093980_343.0.0.11.106.apk,APK,84051795,arm64-v8a,APK,,meta-horizon_813093980_343.0.0.11.106.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,344.0.0.18.107,818194044,APKPure,2025-11-04,"Nov 4, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/344.0.0.18.107,apks/meta-horizon/meta-horizon_818194044_344.0.0.18.107.apk,APK,84494843,arm64-v8a,APK,,meta-horizon_818194044_344.0.0.18.107.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,344.1.0.21.107,819817600,APKPure,2025-11-06,"Nov 6, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/344.1.0.21.107,apks/meta-horizon/meta-horizon_819817600_344.1.0.21.107.apk,APK,84503035,arm64-v8a,APK,,meta-horizon_819817600_344.1.0.21.107.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,345.0.0.17.108,821947652,APKPure,2025-11-12,"Nov 12, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/345.0.0.17.108,apks/meta-horizon/meta-horizon_821947652_345.0.0.17.108.apk,APK,87318940,arm64-v8a,APK,,meta-horizon_821947652_345.0.0.17.108.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,346.0.0.22.105,827848639,APKPure,2025-11-20,"Nov 20, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/346.0.0.22.105,apks/meta-horizon/meta-horizon_827848639_346.0.0.22.105.apk,APK,86836851,arm64-v8a,APK,,meta-horizon_827848639_346.0.0.22.105.apk,assets/TwilightBundle.js.hbc,,libhermesmerged.so;libreactnativeblob.so;libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libhermesmerged.so, libreactnativeblob.so, libxplat_ReactNative_turbomodules_i18n_i18nAndroid.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,348.0.0.25.105,836593425,APKPure,2025-12-03,"Dec 3, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/348.0.0.25.105,apks/meta-horizon/meta-horizon_836593425_348.0.0.25.105.apk,APK,87543825,arm64-v8a,APK,,meta-horizon_836593425_348.0.0.25.105.apk,assets/TwilightBundle.js.hbc,,libreactnative.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libreactnative.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
com.oculus.twilight,349.0.0.34.104,840100469,APKPure,2025-12-09,"Dec 9, 2025",https://apkpure.net/meta-horizon/com.oculus.twilight/download/349.0.0.34.104,apks/meta-horizon/meta-horizon_840100469_349.0.0.34.104.apk,APK,87839046,arm64-v8a,APK,,meta-horizon_840100469_349.0.0.34.104.apk,assets/TwilightBundle.js.hbc,,libreactnative.so;libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so;libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so;libxplat_oculus_twilight_MsysJSIAndroid.so,,,present,0.60.x,medium,"RN 0.60 markers TurboModuleRegistry/VirtualizedSectionList are present and 0.61 markers are absent. Android native/package metadata lists React Native-related libraries: libreactnative.so, libxplat_ReactNative_turbomodules_libsodium_libsodiumAndroid.so, libxplat_oculus_turbomodules_msysinstaller_MsysInstallerModuleAndroid.so, libxplat_oculus_twilight_MsysJSIAndroid.so"
