app_slug,app_name,bundle_id,app_version,app_build,external_version_id,rn_guess,rn_evidence_class,component,member,bytes,compressed_bytes,compressed_pct_uncompressed,pct_main_app_uncompressed,pct_main_app_compressed,pct_source_ipa,pct_dump_ipa,context_only,dump_report,dump_ipa
threads,Threads,com.burbn.barcelona,373.0.0,711845629,873427556,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Threads.app/Threads,63963632,29967662,46.85,77.34,66.21,45.75,60.12,true,tmp/ios-dumps/threads_373.0.0_711845629_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/threads_373.0.0_711845629_frida-all.ipa
threads,Threads,com.burbn.barcelona,387.0.0,755202338,875824747,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Threads.app/Threads,78297872,35516311,45.36,79.82,69.31,45.41,60.89,true,tmp/ios-dumps/threads_387.0.0_755202338_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/threads_387.0.0_755202338_frida-all.ipa
threads,Threads,com.burbn.barcelona,400.0.0,797742903,878332041,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Threads.app/Threads,87580416,39230302,44.79,79.09,71.41,35.79,51.54,true,tmp/ios-dumps/com.burbn.barcelona_400.0.0_797742903_frida-ipa-extract-all-binaries-attach.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.barcelona_400.0.0_797742903_frida-ipa-extract-all-binaries-attach.ipa
threads,Threads,com.burbn.barcelona,431.0.0,979167741,885819877,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Threads.app/Threads,129312480,56716735,43.86,84.08,75.16,35.09,50.86,true,tmp/ios-dumps/com.burbn.barcelona_431.0.0_979167741_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.barcelona_431.0.0_979167741_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,114.0,176133011,832986604,0.61.x,versioned_rn,js_bundle,Payload/Instagram.app/main.jsbundle.zst,908221,908501,100.03,0.86,1.24,1.13,1.24,false,tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,114.0,176133011,832986604,0.61.x,versioned_rn,rn_carrier_macho,Payload/Instagram.app/Frameworks/FBSharedFramework.framework/FBSharedFramework,19847376,8116466,40.89,18.82,11.11,10.11,11.06,true,tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,114.0,176133011,832986604,0.61.x,versioned_rn,rn_carrier_macho,Payload/Instagram.app/Instagram,166448,36328,21.83,0.16,0.05,0.05,0.05,true,tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,430.0.0,972915403,885526725,unknown,native_rn_marker_without_version,js_bundle,Payload/Instagram.app/main.hbcbundle,2320953,1109704,47.81,0.52,0.47,0.24,0.34,false,tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,430.0.0,972915403,885526725,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Instagram.app/Frameworks/FBSharedFramework.framework/FBSharedFramework,52844848,23623884,44.70,11.90,10.02,5.12,7.24,true,tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,430.0.0,972915403,885526725,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Instagram.app/Instagram,292987664,131560427,44.90,66.00,55.79,28.50,40.33,true,tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa
