app_slug,app_name,bundle_id,app_version,app_build,build_timestamp,external_version_id,rn_guess,confidence,decrypted_coverage,dump_sha256,dump_size_bytes,source_ipa_size_bytes,main_app_uncompressed_bytes,main_app_compressed_member_bytes,main_app_compressed_pct_uncompressed,total_uncompressed_bytes,total_compressed_member_bytes,macho_total_bytes,main_executable_bytes,main_executable_compressed_bytes,main_executable_pct_main_app,js_bundle_bytes,js_bundle_compressed_bytes,js_bundle_compressed_pct_uncompressed,rn_js_file_count,rn_named_native_bytes,rn_named_native_compressed_bytes,rn_named_native_compressed_pct_uncompressed,rn_named_native_file_count,direct_rn_payload_bytes,direct_rn_payload_compressed_bytes,direct_rn_payload_compressed_pct_uncompressed,direct_rn_payload_pct_main_app,direct_rn_payload_compressed_pct_main_app_compressed,direct_rn_payload_pct_source_ipa,direct_rn_payload_compressed_pct_source_ipa,direct_rn_payload_compressed_pct_dump_ipa,js_bundle_pct_direct_rn_payload,rn_named_native_pct_direct_rn_payload,rn_carrier_macho_bytes,rn_carrier_macho_compressed_bytes,rn_carrier_macho_compressed_pct_dump_ipa,rn_carrier_macho_pct_macho,rn_carrier_macho_pct_main_app,rn_carrier_macho_count,rn_carrier_macho_members,rn_evidence_class,static_linked_rn_likely,remaining_encrypted_appex_count,remaining_encrypted_non_extension_count,rn_js_members,rn_named_native_members,notes,dump_report,dump_ipa
agoda,Agoda: Cheap Flights & Hotels,com.agoda.consumer,13.40.0,310516.2,2025-10-17T10:21:08,879020412,unknown,low,loaded_app_decrypted,18a1fcb71453017c66a5ae1a7b40f35e8875212050bd735e7e58577b1fbbba6a,205265996,325667569,427350693,204255281,47.80,427831613,204496550,241674704,208494512,71424983,48.79,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,2,0,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers,tmp/ios-dumps/agoda_13.40.0_310516.2_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/agoda_13.40.0_310516.2_frida-all.ipa
threads,Threads,com.burbn.barcelona,373.0.0,711845629,2025-03-22T02:10:48,873427556,unknown,low,loaded_app_decrypted,b216418958cddd8b6e3b396799f034982f346fd70b8dd075b7db8a30b6404518,49844742,65508675,82705628,45260001,54.72,89396220,49779236,70381744,63963632,29967662,77.34,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,63963632,29967662,60.12,90.88,77.34,1,Payload/Threads.app/Threads,native_rn_marker_without_version,true,3,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/threads_373.0.0_711845629_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/threads_373.0.0_711845629_frida-all.ipa
threads,Threads,com.burbn.barcelona,387.0.0,755202338,2025-06-28T07:38:24,875824747,unknown,low,loaded_app_decrypted,3c998e30b8d795fa19c019e9bd05f6ff744e93e525b8287da19a4ff65a551888,58324416,78211944,98093991,51240385,52.24,109000444,58256746,86114240,78297872,35516311,79.82,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,78297872,35516311,60.89,90.92,79.82,1,Payload/Threads.app/Threads,native_rn_marker_without_version,true,3,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/threads_387.0.0_755202338_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/threads_387.0.0_755202338_frida-all.ipa
threads,Threads,com.burbn.barcelona,400.0.0,797742903,2025-09-26T23:10:52,878332041,unknown,low,loaded_app_decrypted,2495a9c1b324d349165653d7a39839b241fd2badc344a941031fb888e8a00681,76109478,109621122,110735352,54940291,49.61,136509387,76000142,107961616,87580416,39230302,79.09,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,87580416,39230302,51.54,81.12,79.09,1,Payload/Threads.app/Threads,native_rn_marker_without_version,true,4,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/com.burbn.barcelona_400.0.0_797742903_frida-ipa-extract-all-binaries-attach.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.barcelona_400.0.0_797742903_frida-ipa-extract-all-binaries-attach.ipa
threads,Threads,com.burbn.barcelona,431.0.0,979167741,2026-05-25T02:25:36,885819877,unknown,low,loaded_app_decrypted,0469b0c5224b17f3e760ba78b5ff23a7df207a715e10cba43b22eaef84239b72,111514854,161621602,153793975,75464951,49.07,199325578,111468976,168573424,129312480,56716735,84.08,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,129312480,56716735,50.86,76.71,84.08,1,Payload/Threads.app/Threads,native_rn_marker_without_version,true,4,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/com.burbn.barcelona_431.0.0_979167741_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.barcelona_431.0.0_979167741_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,114.0,176133011,2019-10-04T17:27:40,832986604,0.61.x,medium,main_only_decrypted,9812fbd41b2c3d83c074043e3dcddc10c8df57a0a18fec5c23d6b2978176e1ad,73387774,80280712,105433872,73086761,69.32,105819666,73238488,81891472,166448,36328,0.16,908221,908501,100.03,1,0,0,,0,908221,908501,100.03,0.86,1.24,1.13,1.13,1.24,100.00,0.00,20013824,8152794,11.11,24.44,18.98,2,Payload/Instagram.app/Frameworks/FBSharedFramework.framework/FBSharedFramework;Payload/Instagram.app/Instagram,versioned_rn,true,2,1,Payload/Instagram.app/main.jsbundle.zst,,remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_114.0_176133011_frida-ipa-extract-all-binaries.ipa
instagram,Instagram,com.burbn.instagram,430.0.0,972915403,2026-05-16T18:55:26,885526725,unknown,low,loaded_app_decrypted,4113218bff9df91cb3de9d0ed4cc64c4d2c07e383f6a4715dcaf730370c08d05,326217004,461564266,443905037,235801459,53.12,554883391,325701134,430180192,292987664,131560427,66.00,2320953,1109704,47.81,1,0,0,,0,2320953,1109704,47.81,0.52,0.47,0.50,0.24,0.34,100.00,0.00,345832512,155184311,47.57,80.39,77.91,2,Payload/Instagram.app/Frameworks/FBSharedFramework.framework/FBSharedFramework;Payload/Instagram.app/Instagram,native_rn_marker_without_version,true,8,0,Payload/Instagram.app/main.hbcbundle,,native_rn_marker_without_version,tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.burbn.instagram_430.0.0_972915403_frida-ipa-extract-all-binaries.ipa
facebook-messenger,Facebook Messenger,com.facebook.Messenger,562.0.0,975021560,2026-05-19T17:01:04,885556428,unknown,low,main_only_decrypted,29b0960be715decd5f828b25e96a9399da14ba31686c5cb0a37228aa0d634338,129675715,177080906,192858321,106836458,55.40,220320093,128974209,187760240,413728,141073,0.21,1703349,902350,52.98,1,0,0,,0,1703349,902350,52.98,0.88,0.84,0.96,0.51,0.70,100.00,0.00,101243264,46982433,36.23,53.92,52.50,2,Payload/Messenger.app/Frameworks/LightSpeedCore.framework/LightSpeedCore;Payload/Messenger.app/Messenger,native_rn_marker_without_version,true,7,1,Payload/Messenger.app/main.hbcbundle,,native_rn_marker_without_version remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.facebook.Messenger_562.0.0_975021560_frida-ipa-extract-all-binaries.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2606.0,222553,2026-02-06T21:22:24,882242969,0.82.x or newer,low,main_only_decrypted,0b20b8c6b32d0056969b5ffa6afff6ac9bc2807e6aa73b009e3e5afd3145d662,91476476,130658763,175258032,70526300,40.24,204416644,91161352,126104048,32417200,12816884,18.50,38722571,14984869,38.70,1,6100416,1691682,27.73,1,44822987,16676551,37.21,25.58,23.65,34.31,12.76,18.23,86.39,13.61,38517616,14508566,15.86,30.54,21.98,2,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm;Payload/Shopify.app/Shopify,versioned_rn,true,6,5,Payload/Shopify.app/main.jsbundle,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa
shopify,Shopify,com.jadedpixel.shopify,10.2621.0,282789,2026-05-22T02:14:46,886020173,0.82.x or newer,low,main_only_decrypted,2551b069355a4e9168dfd959551ebc4fc31f99d904d1f0dbf2e4bd9083c62e07,97696350,138061714,187642323,76388032,40.71,217217285,97366038,128926752,34772944,13700782,18.53,44068630,16073589,36.47,1,6100416,1691683,27.73,1,50169046,17765272,35.41,26.74,23.26,36.34,12.87,18.18,87.84,12.16,40873360,15392465,15.76,31.70,21.78,2,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm;Payload/Shopify.app/Shopify,versioned_rn,true,6,5,Payload/Shopify.app/main.jsbundle,Payload/Shopify.app/Frameworks/hermesvm.framework/hermesvm,remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa
