android_package,version_name,version_code,source,source_publish_date,source_publish_date_raw,download_url,package,package_file_type,package_size,supported_abis,split_metadata,manifest_metadata,apk_entries,js_bundle_paths,hermes_markers,react_native_libraries,native_symbol_markers,react_renderer,hbc_version,rn_guess,confidence,evidence_notes
com.shopify.arrive,2.231.0,3319531,APKPure,2025-11-12,"Nov 12, 2025",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.231.0,apks/shop/shop_3319531_2.231.0.xapk,XAPK,143498984,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3319531"",""version_name"":""2.231.0"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"",""android.permission.SCHEDULE_EXACT_ALARM""],""split_configs"":[""config.mdpi"",""config.arm64_v8a""],""total_size"":143484811,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.mdpi.apk"",""id"":""config.mdpi""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""}]}",com.shopify.arrive.apk;config.mdpi.apk;config.arm64_v8a.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.232.0,3324090,APKPure,2025-11-18,"Nov 18, 2025",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.232.0,apks/shop/shop_3324090_2.232.0.xapk,XAPK,125445009,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3324090"",""version_name"":""2.232.0"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.mdpi"",""config.fr"",""config.arm64_v8a""],""total_size"":125442609,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.mdpi.apk"",""id"":""config.mdpi""},{""file"":""config.fr.apk"",""id"":""config.fr""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""}]}",com.shopify.arrive.apk;config.mdpi.apk;config.fr.apk;config.arm64_v8a.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.232.1,3326402,APKPure,2025-11-24,"Nov 24, 2025",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.232.1,apks/shop/shop_3326402_2.232.1.xapk,XAPK,116101125,armeabi-v7a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3326402"",""version_name"":""2.232.1"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.mdpi"",""config.armeabi_v7a""],""total_size"":116086984,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.mdpi.apk"",""id"":""config.mdpi""},{""file"":""config.armeabi_v7a.apk"",""id"":""config.armeabi_v7a""}]}",com.shopify.arrive.apk;config.mdpi.apk;config.armeabi_v7a.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.232.2,3327969,APKPure,2025-11-25,"Nov 25, 2025",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.232.2,apks/shop/shop_3327969_2.232.2.xapk,XAPK,127825078,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3327969"",""version_name"":""2.232.2"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.xxhdpi"",""config.es"",""config.arm64_v8a""],""total_size"":127822668,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""},{""file"":""config.es.apk"",""id"":""config.es""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""}]}",com.shopify.arrive.apk;config.xxhdpi.apk;config.es.apk;config.arm64_v8a.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.233.0,3334859,APKPure,,11/12/2025,https://apkpure.net/es/shop-all-your-favorite-brands/com.shopify.arrive/download/2.233.0,apks/shop/shop_3334859_2.233.0.xapk,XAPK,117091725,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3334859"",""version_name"":""2.233.0"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.arm64_v8a"",""config.es"",""config.xxhdpi""],""total_size"":117089315,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""}]}",com.shopify.arrive.apk;config.arm64_v8a.apk;config.es.apk;config.xxhdpi.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.234.0,3338950,APKPure,2025-12-17,"Dec 17, 2025",https://apkpure.net/tr/shop-all-your-favorite-brands/com.shopify.arrive/download/2.234.0,apks/shop/shop_3338950_2.234.0.xapk,XAPK,116034921,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3338950"",""version_name"":""2.234.0"",""min_sdk_version"":""26"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.arm64_v8a"",""config.es"",""config.xxhdpi""],""total_size"":116032434,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""}]}",com.shopify.arrive.apk;config.arm64_v8a.apk;config.es.apk;config.xxhdpi.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.235.0,3347445,APKPure,,16/01/2026,https://apkpure.net/ar/shop-all-your-favorite-brands/com.shopify.arrive/download/2.235.0,apks/shop/shop_3347445_2.235.0.xapk,XAPK,114846369,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3347445"",""version_name"":""2.235.0"",""min_sdk_version"":""29"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.arm64_v8a"",""config.es"",""config.xxhdpi""],""total_size"":114843882,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""}]}",com.shopify.arrive.apk;config.arm64_v8a.apk;config.es.apk;config.xxhdpi.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.236.0,3356117,APKPure,2026-01-21,"Jan 21, 2026",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.236.0,apks/shop/shop_3356117_2.236.0.xapk,XAPK,115305121,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3356117"",""version_name"":""2.236.0"",""min_sdk_version"":""29"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.arm64_v8a"",""config.es"",""config.xxhdpi""],""total_size"":115302634,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""}]}",com.shopify.arrive.apk;config.arm64_v8a.apk;config.es.apk;config.xxhdpi.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.237.0,3361625,APKPure,2026-01-28,"Jan 28, 2026",https://apkpure.net/it/shop-all-your-favorite-brands/com.shopify.arrive/download/2.237.0,apks/shop/shop_3361625_2.237.0.xapk,XAPK,115226682,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3361625"",""version_name"":""2.237.0"",""min_sdk_version"":""29"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.xxhdpi"",""config.arm64_v8a"",""config.es""],""total_size"":115224195,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""}]}",com.shopify.arrive.apk;config.xxhdpi.apk;config.arm64_v8a.apk;config.es.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
com.shopify.arrive,2.238.0,3367448,APKPure,2026-02-04,"Feb 4, 2026",https://apkpure.net/shop-all-your-favorite-brands/com.shopify.arrive/download/2.238.0,apks/shop/shop_3367448_2.238.0.xapk,XAPK,108122148,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.shopify.arrive"",""name"":""Shop"",""version_code"":""3367448"",""version_name"":""2.238.0"",""min_sdk_version"":""29"",""target_sdk_version"":""35"",""permissions"":[""android.permission.INTERNET"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.NFC"",""android.permission.FOREGROUND_SERVICE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.BLUETOOTH_SCAN"",""android.permission.BLUETOOTH_CONNECT"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.STORAGE"",""android.permission.CAMERA"",""android.permission.POST_NOTIFICATIONS"",""android.permission.USE_CREDENTIALS"",""android.permission.WAKE_LOCK"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.ACCESS_WIFI_STATE"",""com.google.android.gms.permission.AD_ID"",""android.permission.BLUETOOTH"",""android.permission.BLUETOOTH_ADMIN"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.USE_BIOMETRIC"",""android.permission.USE_FINGERPRINT"",""com.android.vending.CHECK_LICENSE"",""android.permission.FOREGROUND_SERVICE_LOCATION"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.ACCESS_ADSERVICES_ATTRIBUTION"",""android.permission.ACCESS_ADSERVICES_AD_ID"",""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"",""com.shopify.arrive.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""],""split_configs"":[""config.xxhdpi"",""config.arm64_v8a"",""config.es""],""total_size"":108119661,""icon"":""icon.png"",""split_apks"":[{""file"":""com.shopify.arrive.apk"",""id"":""base""},{""file"":""config.xxhdpi.apk"",""id"":""config.xxhdpi""},{""file"":""config.arm64_v8a.apk"",""id"":""config.arm64_v8a""},{""file"":""config.es.apk"",""id"":""config.es""}]}",com.shopify.arrive.apk;config.xxhdpi.apk;config.arm64_v8a.apk;config.es.apk,assets/index.android.bundle,,libhermes.so;libhermestooling.so;libjsi.so;libreactnative.so,,19.0.0,present,0.79.x,medium,"Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Android native/package metadata lists React Native-related libraries: libhermes.so, libhermestooling.so, libjsi.so, libreactnative.so"
