ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,has_native_react_native_marker,has_native_hermes_marker,has_native_jsi_marker,has_native_yoga_marker,cryptid,unknown_reason,next_action,notes,decrypted_evidence,source_ipa_sha256,source_ipa_size,decrypted_dump_sha256,decrypted_dump_size,dump_tool,dump_command,dump_device_context,decrypted_coverage,decrypted_main_cryptid,mach_o_cryptid_summary,remaining_encrypted_appex,remaining_encrypted_non_extension
ipas/shopify/shopify_001_877298053_877298053.ipa,877298053,com.jadedpixel.shopify,10.2533.0,166682,2025-08-15T22:23:04,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/shopify/shopify_001_882242969_882242969.ipa,882242969,com.jadedpixel.shopify,10.2606.0,222553,2026-02-06T21:22:24,,,Payload/Shopify.app/main.jsbundle,98,,0.82.x or newer,low,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,1,,,"RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is FairPlay encrypted; exact native RN constants are not inspectable. Decrypted dump analysis: RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is not encrypted; native constant scanning may be possible. Decrypted dump accepted as main_only_decrypted with main cryptid 0; source SHA-256 e9bb3b9512bcce60dc3d9099c65917a1996eb4de5049b3db29d39ba8373cd503; dump SHA-256 0b20b8c6b32d0056969b5ffa6afff6ac9bc2807e6aa73b009e3e5afd3145d662.",true,e9bb3b9512bcce60dc3d9099c65917a1996eb4de5049b3db29d39ba8373cd503,130658763,0b20b8c6b32d0056969b5ffa6afff6ac9bc2807e6aa73b009e3e5afd3145d662,91476476,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.jadedpixel.shopify -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2606.0_222553_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",main_only_decrypted,0,"{""counts_by_category"":{""app_extension"":6,""framework_or_dylib"":16,""main_executable"":1,""other_macho"":1},""encrypted_count"":11,""mach_o_count"":24,""unknown_cryptid_count"":0}",Payload/Shopify.app/PlugIns/ShopifyNotificationContentExtension.appex/ShopifyNotificationContentExtension;Payload/Shopify.app/PlugIns/ShopifyNotificationServiceExtension.appex/ShopifyNotificationServiceExtension;Payload/Shopify.app/PlugIns/ShopifyShareExtension.appex/ShopifyShareExtension;Payload/Shopify.app/PlugIns/ShopifyWidgetExtension.appex/ShopifyWidgetExtension;Payload/Shopify.app/PlugIns/ShopifyWidgetIntentsExtension.appex/ShopifyWidgetIntentsExtension;Payload/Shopify.app/Watch/ShopifyWatch.app/PlugIns/ShopifyWatchWidgetsExtension.appex/ShopifyWatchWidgetsExtension,Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/AdminAPI.framework/AdminAPI;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/PolarisTokens.framework/PolarisTokens;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/ShopifyFoundation.framework/ShopifyFoundation;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/ShopifyIdentity.framework/ShopifyIdentity;Payload/Shopify.app/Watch/ShopifyWatch.app/ShopifyWatch
ipas/shopify/shopify_001_883120261_883120261.ipa,883120261,com.jadedpixel.shopify,10.2610.0,233597,2026-03-06T22:20:44,,,Payload/Shopify.app/main.jsbundle,98,,0.82.x or newer,low,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/shopify/shopify_001_886020173_886020173.ipa,886020173,com.jadedpixel.shopify,10.2621.0,282789,2026-05-22T02:14:46,,,Payload/Shopify.app/main.jsbundle,98,,0.82.x or newer,low,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,1,,,"RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is FairPlay encrypted; exact native RN constants are not inspectable. Decrypted dump analysis: RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is not encrypted; native constant scanning may be possible. Decrypted dump accepted as main_only_decrypted with main cryptid 0; source SHA-256 6c6d1900c8c3ff5e0a9fbfc557d9132ed42e9b1defd44772a2f8564eb580e72a; dump SHA-256 2551b069355a4e9168dfd959551ebc4fc31f99d904d1f0dbf2e4bd9083c62e07.",true,6c6d1900c8c3ff5e0a9fbfc557d9132ed42e9b1defd44772a2f8564eb580e72a,138061714,2551b069355a4e9168dfd959551ebc4fc31f99d904d1f0dbf2e4bd9083c62e07,97696350,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.jadedpixel.shopify -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/shopify_10.2621.0_282789_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",main_only_decrypted,0,"{""counts_by_category"":{""app_extension"":6,""framework_or_dylib"":18,""main_executable"":1,""other_macho"":1},""encrypted_count"":11,""mach_o_count"":26,""unknown_cryptid_count"":0}",Payload/Shopify.app/PlugIns/ShopifyNotificationContentExtension.appex/ShopifyNotificationContentExtension;Payload/Shopify.app/PlugIns/ShopifyNotificationServiceExtension.appex/ShopifyNotificationServiceExtension;Payload/Shopify.app/PlugIns/ShopifyShareExtension.appex/ShopifyShareExtension;Payload/Shopify.app/PlugIns/ShopifyWidgetExtension.appex/ShopifyWidgetExtension;Payload/Shopify.app/PlugIns/ShopifyWidgetIntentsExtension.appex/ShopifyWidgetIntentsExtension;Payload/Shopify.app/Watch/ShopifyWatch.app/PlugIns/ShopifyWatchWidgetsExtension.appex/ShopifyWatchWidgetsExtension,Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/AdminAPI.framework/AdminAPI;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/PolarisTokens.framework/PolarisTokens;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/ShopifyFoundation.framework/ShopifyFoundation;Payload/Shopify.app/Watch/ShopifyWatch.app/Frameworks/ShopifyIdentity.framework/ShopifyIdentity;Payload/Shopify.app/Watch/ShopifyWatch.app/ShopifyWatch
ipas/shopify/shopify_002_876587109_876587109.ipa,876587109,com.jadedpixel.shopify,10.2529.0,155855,2025-07-21T23:23:30,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/shopify/shopify_002_882018171_882018171.ipa,882018171,com.jadedpixel.shopify,10.2605.0,220442,2026-01-30T00:12:14,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/shopify/shopify_002_882318328_882318328.ipa,882318328,com.jadedpixel.shopify,10.2606.1,223086,2026-02-10T02:10:42,,,Payload/Shopify.app/main.jsbundle,98,,0.82.x or newer,low,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index marker ReactNativeVersion is present, but no renderer version marker was found. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/shopify/shopify_003_875958682_875958682.ipa,875958682,com.jadedpixel.shopify,9.2526.0,147064,2025-06-27T06:14:10,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/shopify/shopify_003_881793183_881793183.ipa,881793183,com.jadedpixel.shopify,10.2604.0,218249,2026-01-23T19:23:12,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/shopify/shopify_003_881903247_881903247.ipa,881903247,com.jadedpixel.shopify,10.2604.2,219985,2026-01-29T01:47:52,,,Payload/Shopify.app/main.jsbundle,96,19.0.0,0.79.x,medium,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
