android_package,version_name,version_code,source,source_publish_date,source_publish_date_raw,download_url,package,package_file_type,package_size,supported_abis,split_metadata,manifest_metadata,apk_entries,js_bundle_paths,hermes_markers,react_native_libraries,native_symbol_markers,react_renderer,hbc_version,rn_guess,confidence,evidence_notes
com.skype.raider,8.132.0.201,1250181076,APKPure,2024-11-11,"Nov 11, 2024",https://apkpure.net/skype/com.skype.raider/download/8.132.0.201,apks/skype/skype_1250181076_8.132.0.201.apk,APK,74382504,arm64-v8a,APK,,skype_1250181076_8.132.0.201.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.133.0.202,1250181879,APKPure,2024-12-05,"Dec 5, 2024",https://apkpure.net/skype/com.skype.raider/download/8.133.0.202,apks/skype/skype_1250181879_8.133.0.202.apk,APK,74382504,arm64-v8a,APK,,skype_1250181879_8.133.0.202.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.134.0.202,1250182847,APKPure,2024-12-16,"Dec 16, 2024",https://apkpure.net/skype/com.skype.raider/download/8.134.0.202,apks/skype/skype_1250182847_8.134.0.202.apk,APK,74382504,arm64-v8a,APK,,skype_1250182847_8.134.0.202.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.136.0.202,1250184252,APKPure,2025-02-04,"Feb 4, 2025",https://apkpure.net/skype/com.skype.raider/download/8.136.0.202,apks/skype/skype_1250184252_8.136.0.202.apk,APK,74382504,arm64-v8a,APK,,skype_1250184252_8.136.0.202.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.136.0.203,1250184629,APKPure,2025-02-05,"Feb 5, 2025",https://apkpure.net/skype/com.skype.raider/download/8.136.0.203,apks/skype/skype_1250184629_8.136.0.203.apk,APK,74382504,arm64-v8a,APK,,skype_1250184629_8.136.0.203.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.137.0.425,1250185472,APKPure,2025-03-03,"Mar 3, 2025",https://apkpure.net/skype/com.skype.raider/download/8.137.0.425,apks/skype/skype_1250185472_8.137.0.425.apk,APK,74382504,arm64-v8a,APK,,skype_1250185472_8.137.0.425.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.138.0.203,1250185730,APKPure,2025-03-10,"Mar 10, 2025",https://apkpure.net/skype/com.skype.raider/download/8.138.0.203,apks/skype/skype_1250185730_8.138.0.203.apk,APK,74382504,arm64-v8a,APK,,skype_1250185730_8.138.0.203.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.138.0.209,1250186051,APKPure,2025-03-18,"Mar 18, 2025",https://apkpure.net/skype/com.skype.raider/download/8.138.0.209,apks/skype/skype_1250186051_8.138.0.209.apk,APK,74382504,arm64-v8a,APK,,skype_1250186051_8.138.0.209.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.138.0.213,1250186220,APKPure,2025-03-27,"Mar 27, 2025",https://apkpure.net/skype/com.skype.raider/download/8.138.0.213,apks/skype/skype_1250186220_8.138.0.213.apk,APK,74382504,arm64-v8a,APK,,skype_1250186220_8.138.0.213.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
com.skype.raider,8.150.0.125,1250186747,APKPure,2025-05-05,"May 5, 2025",https://apkpure.net/skype/com.skype.raider/download,apks/skype/skype_1250186747_8.150.0.125.apk,APK,74382504,arm64-v8a,APK,,skype_1250186747_8.150.0.125.apk,assets/index.android.bundle,,libfabricjni.so;libhermes.so;libhermes_executor.so;libhermesinstancejni.so;libjsi.so;libjsijniprofiler.so;libjsinspector.so;libreact_nativemodule_core.so;libreactnativeblob.so;libreactnativejni.so;libreactnativemmkv.so;libturbomodulejsijni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libfabricjni.so, libhermes.so, libhermes_executor.so, libhermesinstancejni.so, libjsi.so, libjsijniprofiler.so, libjsinspector.so, libreact_nativemodule_core.so, libreactnativeblob.so, libreactnativejni.so, libreactnativemmkv.so, libturbomodulejsijni.so"
