ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,has_native_react_native_marker,has_native_hermes_marker,has_native_jsi_marker,has_native_yoga_marker,cryptid,unknown_reason,next_action,notes,decrypted_evidence,source_ipa_sha256,source_ipa_size,decrypted_dump_sha256,decrypted_dump_size,dump_tool,dump_command,dump_device_context,decrypted_coverage,decrypted_main_cryptid,mach_o_cryptid_summary,remaining_encrypted_appex,remaining_encrypted_non_extension
ipas/skype/skype_001_822306851_822306851.ipa,822306851,com.skype.skype,8.1.46715,8.1.0.46715,2017-06-23T13:28:48,,,Payload/Skype4Life.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,1,,,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/skype/skype_004_845553986_845553986.ipa,845553986,com.skype.skype,8.79.92,8.79.0.92,2021-11-24T10:09:12,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable. Decrypted dump analysis: RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is not encrypted; native constant scanning may be possible. Decrypted dump accepted as loaded_app_decrypted with main cryptid 0; source SHA-256 0e4c8811adf5822e13f510a9b8b48866b666bae8415dc759ed82d23dd234b8ab; dump SHA-256 26d6cd684fb0ac47f91689dd6957c8ca5aab40a2684433da0964e773247c324c.,true,0e4c8811adf5822e13f510a9b8b48866b666bae8415dc759ed82d23dd234b8ab,70273517,26d6cd684fb0ac47f91689dd6957c8ca5aab40a2684433da0964e773247c324c,46340362,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.skype.skype -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",loaded_app_decrypted,0,"{""counts_by_category"":{""app_extension"":3,""framework_or_dylib"":26,""main_executable"":1},""encrypted_count"":3,""mach_o_count"":30,""unknown_cryptid_count"":0}",Payload/Skype4Life.app/PlugIns/NotificationServiceExtension.appex/NotificationServiceExtension;Payload/Skype4Life.app/PlugIns/ShareExtension.appex/ShareExtension;Payload/Skype4Life.app/PlugIns/screenshareext.appex/screenshareext,
ipas/skype/skype_001_845793424_845793424.ipa,845793424,com.skype.skype,8.79.95,8.79.0.95,2021-12-06T12:14:20,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_002_846002825_846002825.ipa,846002825,com.skype.skype,8.79.97,8.79.0.97,2021-12-15T13:24:54,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_003_846632035_846632035.ipa,846632035,com.skype.skype,8.80.137,8.80.0.137,2022-01-13T14:16:38,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_004_847086590_847086590.ipa,847086590,com.skype.skype,8.80.218,8.80.0.218,2022-02-08T10:50:24,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_005_847121433_847121433.ipa,847121433,com.skype.skype,8.81.268,8.81.0.268,2022-02-23T14:36:26,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_006_847669772_847669772.ipa,847669772,com.skype.skype,8.82.403,8.82.0.403,2022-03-10T09:47:08,,,Payload/Skype4Life.app/main.jsbundle,,16.13.0,0.63.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,1,,,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers are still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/skype/skype_001_848201751_848201751.ipa,848201751,com.skype.skype,8.83.408,8.83.0.408,2022-04-13T11:35:58,,,Payload/Skype4Life.app/main.jsbundle,,,0.66.x,medium,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index markers PickerIOS and StatusBarIOS, removed in 0.66, are absent; DatePickerAndroid is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
ipas/skype/skype_002_850196195_850196195.ipa,850196195,com.skype.skype,8.83.416,8.83.0.416,2022-06-15T01:58:50,,,Payload/Skype4Life.app/main.jsbundle,,,0.66.x,medium,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,false,1,,,"RN index markers PickerIOS and StatusBarIOS, removed in 0.66, are absent; DatePickerAndroid is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.",,,,,,,,,,,,,
