ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,has_native_react_native_marker,has_native_hermes_marker,has_native_jsi_marker,has_native_yoga_marker,cryptid,unknown_reason,next_action,notes,decrypted_evidence,source_ipa_sha256,source_ipa_size,decrypted_dump_sha256,decrypted_dump_size,dump_tool,dump_command,dump_device_context,decrypted_coverage,decrypted_main_cryptid,mach_o_cryptid_summary,remaining_encrypted_appex,remaining_encrypted_non_extension
ipas/soundcloud/soundcloud_001_2053200_2053200.ipa,2053200,com.soundcloud.TouchApp,,1.0,2009-10-14T07:39:00,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_002_646142647_646142647.ipa,646142647,com.soundcloud.TouchApp,3.1.0,2592,2014-07-21T17:09:34,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_003_821175753_821175753.ipa,821175753,com.soundcloud.TouchApp,5.1.0,5064,2017-03-09T07:38:06,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_004_830033295_830033295.ipa,830033295,com.soundcloud.TouchApp,5.47.0,30131,2019-02-01T11:32:16,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_005_836339520_836339520.ipa,836339520,com.soundcloud.TouchApp,5.97.0,49368,2020-06-14T02:36:12,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_006_844786541_844786541.ipa,844786541,com.soundcloud.TouchApp,5.149.0,66172,2021-10-20T07:57:46,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_007_854554263_854554263.ipa,854554263,com.soundcloud.TouchApp,6.15.1,1238350,2023-01-23T10:43:08,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,encrypted_native_only,Dump this IPA with frida-ipa-extract --all-binaries if it becomes boundary-priority evidence.,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.,,,,,,,,,,,,,
ipas/soundcloud/soundcloud_008_860769428_860769428.ipa,860769428,com.soundcloud.TouchApp,7.16.0,1243764,2023-10-23T05:24:54,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,no_js_or_native_rn_markers,Trigger encrypted app extensions only if new evidence suggests React Native lives outside the main app; otherwise no RN evidence is present in this sampled/decrypted row.,"No RN JS bundle, Hermes bytecode, react-native-renderer, strong native RN symbol, or strong native Hermes/JSI/Yoga marker was found. The earlier native-marker result was a false positive from weak strings such as ios_react_native/ios_reactnative, isolated RCTView, and incidental JSi-like text; these are not counted as RN evidence after the native-marker audit. Decrypted dump accepted as loaded_app_decrypted with main cryptid 0; source SHA-256 974817fa13e2adfe9a6f8a1963421abb5be40ad3ab9825810e2b520ba6fd5208; dump SHA-256 d62465b12bfa4f72c43b8cb64d97a822deadd7be5d0c582405f256ded36d7e6c.",true,974817fa13e2adfe9a6f8a1963421abb5be40ad3ab9825810e2b520ba6fd5208,123301659,d62465b12bfa4f72c43b8cb64d97a822deadd7be5d0c582405f256ded36d7e6c,81143948,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.soundcloud.TouchApp -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_7.16.0_1243764_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",loaded_app_decrypted,0,"{""counts_by_category"":{""framework_or_dylib"":58,""app_extension"":2,""main_executable"":1},""encrypted_count"":2,""mach_o_count"":61,""unknown_cryptid_count"":0}",Payload/SoundCloud.app/PlugIns/SCWidgets.appex/SCWidgets;Payload/SoundCloud.app/PlugIns/SCWidgetsIntents.appex/SCWidgetsIntents,
ipas/soundcloud/soundcloud_009_867031169_867031169.ipa,867031169,com.soundcloud.TouchApp,7.44.0,1248257,2024-07-01T12:50:04,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,no_js_or_native_rn_markers,Trigger encrypted app extensions only if new evidence suggests React Native lives outside the main app; otherwise no RN evidence is present in this sampled/decrypted row.,"No RN JS bundle, Hermes bytecode, react-native-renderer, strong native RN symbol, or strong native Hermes/JSI/Yoga marker was found. The earlier native-marker result was a false positive from weak strings such as ios_react_native/ios_reactnative, isolated RCTView, and incidental JSi-like text; these are not counted as RN evidence after the native-marker audit. Existing decrypted dump remains accepted as main_only_decrypted with main cryptid 0; source SHA-256 5b150e725c4720bdab390e40d7c9e80bfd194c3de924b75eef0caab3e330e1cd; dump SHA-256 5fb5569546388ffb83c4e1da21656d60d6721f35c00ff09fdfdfe7fdd90b5cfd.",true,5b150e725c4720bdab390e40d7c9e80bfd194c3de924b75eef0caab3e330e1cd,221132764,5fb5569546388ffb83c4e1da21656d60d6721f35c00ff09fdfdfe7fdd90b5cfd,155338831,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.soundcloud.TouchApp -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_7.44.0_1248257_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",main_only_decrypted,0,"{""counts_by_category"":{""app_extension"":3,""framework_or_dylib"":65,""main_executable"":1,""other_macho"":1},""encrypted_count"":5,""mach_o_count"":70,""unknown_cryptid_count"":0}",Payload/SoundCloud.app/PlugIns/SCNotificationService.appex/SCNotificationService;Payload/SoundCloud.app/PlugIns/SCWidgets.appex/SCWidgets;Payload/SoundCloud.app/PlugIns/SCWidgetsIntents.appex/SCWidgetsIntents,Payload/SoundCloud.app/Watch/SCWatch.app/Frameworks/SwiftSoundCloud.framework/SwiftSoundCloud;Payload/SoundCloud.app/Watch/SCWatch.app/SCWatch
ipas/soundcloud/soundcloud_010_873297043_873297043.ipa,873297043,com.soundcloud.TouchApp,8.5.0,1251600,2025-03-17T16:49:02,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,no_js_or_native_rn_markers,Trigger encrypted app extensions only if new evidence suggests React Native lives outside the main app; otherwise no RN evidence is present in this sampled/decrypted row.,"No RN JS bundle, Hermes bytecode, react-native-renderer, strong native RN symbol, or strong native Hermes/JSI/Yoga marker was found. The earlier native-marker result was a false positive from weak strings such as ios_react_native/ios_reactnative, isolated RCTView, and incidental JSi-like text; these are not counted as RN evidence after the native-marker audit. Existing decrypted dump remains accepted as main_only_decrypted with main cryptid 0; source SHA-256 1d4356c110841b36957cc4c7073ab9fb4638dfcb9abb48467a9a63cece0e52e6; dump SHA-256 9cf85a00792e4329d6f7cc5a01cb6ca7ad9fdd0e93521e8bb3ea9478908190f0.",true,1d4356c110841b36957cc4c7073ab9fb4638dfcb9abb48467a9a63cece0e52e6,199176963,9cf85a00792e4329d6f7cc5a01cb6ca7ad9fdd0e93521e8bb3ea9478908190f0,131693998,frida-ipa-extract,/Users/mike/src/tries/2026-05-25-rn/tmp/frida-venv/bin/python /Users/mike/src/tries/2026-05-25-rn/tmp/tools/frida-ipa-extract/extract.py -U -f com.soundcloud.TouchApp -o /Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_8.5.0_1251600_frida-all.ipa --no-resume --all-binaries,"{""device_name"":""Meoi"",""hardware_model"":""D201AP"",""product_build"":""20H330"",""product_version"":""16.7.7""}",main_only_decrypted,0,"{""counts_by_category"":{""app_extension"":3,""framework_or_dylib"":62,""main_executable"":1,""other_macho"":1},""encrypted_count"":5,""mach_o_count"":67,""unknown_cryptid_count"":0}",Payload/SoundCloud.app/PlugIns/SCNotificationService.appex/SCNotificationService;Payload/SoundCloud.app/PlugIns/SCWidgets.appex/SCWidgets;Payload/SoundCloud.app/PlugIns/SCWidgetsIntents.appex/SCWidgetsIntents,Payload/SoundCloud.app/Watch/SCWatch.app/Frameworks/SwiftSoundCloud.framework/SwiftSoundCloud;Payload/SoundCloud.app/Watch/SCWatch.app/SCWatch
