android_package,version_name,version_code,source,source_publish_date,source_publish_date_raw,download_url,package,package_file_type,package_size,supported_abis,split_metadata,manifest_metadata,apk_entries,js_bundle_paths,hermes_markers,react_native_libraries,native_symbol_markers,react_renderer,hbc_version,rn_guess,confidence,evidence_notes
com.walmart.android,21.5.5,21055104,AndroidAPKsFree,,"October 5, 2021",https://r-static-assets.androidapksfree.net/rdata/449ef82fcb5f63ab5795d5ee0ad4ed39/com.walmart.android_v21.5.5-21055104_Android-5.0.apk,apks/walmart-androidapksfree/walmart_21055104_21.5.5.apk,APK,107659178,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_21055104_21.5.5.apk,assets/index.android.bundle,,libhermes-executor-debug.so;libhermes-executor-release.so;libhermes-inspector.so;libhermes.so;libjsijniprofiler.so;libjsinspector.so;libreactnativeblob.so;libreactnativejni.so;libyoga.so,,,present,0.74.x-0.76.x,medium,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Android native/package metadata lists React Native-related libraries: libhermes-executor-debug.so, libhermes-executor-release.so, libhermes-inspector.so, libhermes.so, libjsijniprofiler.so, libjsinspector.so, libreactnativeblob.so, libreactnativejni.so, libyoga.so"
com.walmart.android,21.22,21220106,AndroidAPKsFree,,"March 25, 2022",https://r2-static-assets.androidapksfree.net/sdata/6dcbf4304af9bba7626c2ab2eaac9c65/com.walmart.android_v21.22-21220106_Android-6.0.apk,apks/walmart-androidapksfree/walmart_21220106_21.22.apk,APK,47237923,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_21220106_21.22.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,22.11,22110004,AndroidAPKsFree,,"March 31, 2022",https://r-static-assets.androidapksfree.net/rdata/2ce7e5ec064cf68560bc1280e47a3f64/com.walmart.android_v22.11-22110004_Android-6.0.apk,apks/walmart-androidapksfree/walmart_22110004_22.11.apk,APK,57092422,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_22110004_22.11.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,22.12,22120008,AndroidAPKsFree,,"June 1, 2022",https://r-static-assets.androidapksfree.net/rdata/0a5875f463073fa8c0b320f9e3799ee2/com.walmart.android_v22.12-22120008_Android-6.0.apk,apks/walmart-androidapksfree/walmart_22120008_22.12.apk,APK,57764793,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_22120008_22.12.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,22.20.1,22200103,AndroidAPKsFree,,"August 24, 2022",https://r-static-assets.androidapksfree.net/rdata/3d49ddd409bec63be9e19546b6ba76b5/com.walmart.android_v22.20.1-22200103_Android-6.0.apk,apks/walmart-androidapksfree/walmart_22200103_22.20.1.apk,APK,84139353,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_22200103_22.20.1.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.4.1,23040105,AndroidAPKsFree,,"February 17, 2023",https://r-static-assets.androidapksfree.net/rdata/dedd77a6f6e6abf06fb03b6cbb7ea4ad/com.walmart.android_v23.4.1-23040105_Android-7.1.apk,apks/walmart-androidapksfree/walmart_23040105_23.4.1.apk,APK,88623159,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23040105_23.4.1.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.20.1,23200103,AndroidAPKsFree,,"June 5, 2023",https://r-static-assets.androidapksfree.net/rdata/4c559b62f4bf863ce0730f990b92d8a0/com.walmart.android_v23.20.1-23200103_Android-7.1.apk,apks/walmart-androidapksfree/walmart_23200103_23.20.1.apk,APK,98958597,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23200103_23.20.1.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.26,23260002,AndroidAPKsFree,,"July 12, 2023",https://r-static-assets.androidapksfree.net/rdata/1693e273a7f1311bbfa915f9a07cba12/com.walmart.android_v23.26-23260002_Android-7.1.apk,apks/walmart-androidapksfree/walmart_23260002_23.26.apk,APK,100577753,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23260002_23.26.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.29,23290033,AndroidAPKsFree,,"August 21, 2023",https://r-static-assets.androidapksfree.net/rdata/62111f25a04fc4533ffb77c7c499b7eb/com.walmart.android_v23.29-23290033_Android-7.1.apk,apks/walmart-androidapksfree/walmart_23290033_23.29.apk,APK,102552329,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23290033_23.29.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.36,23360002,AndroidAPKsFree,,"September 25, 2023",https://r-static-assets.androidapksfree.net/rdata/f0a728b222856aca8f3273ec308504d3/com.walmart.android_v23.36-23360002_Android-8.0.apk,apks/walmart-androidapksfree/walmart_23360002_23.36.apk,APK,110977525,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23360002_23.36.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.42.2,23420200,AndroidAPKsFree,,"November 4, 2023",https://r-static-assets.androidapksfree.net/rdata/51f63f6f28f6fe936c84f72aa3f99187/com.walmart.android_v23.42.2-23420200_Android-8.0.apk,apks/walmart-androidapksfree/walmart_23420200_23.42.2.apk,APK,114587738,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23420200_23.42.2.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,23.49,23490014,AndroidAPKsFree,,"January 23, 2024",https://r-static-assets.androidapksfree.net/rdata/8de8eee85d9060ce705c5bf418855424/com.walmart.android_v23.49-23490014_Android-8.0.apk,apks/walmart-androidapksfree/walmart_23490014_23.49.apk,APK,116983361,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_23490014_23.49.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,24.10.2,24100237,AndroidAPKsFree,,"March 29, 2024",https://r-static-assets.androidapksfree.net/rdata/a7b8f008848a3a0e8c34a03fedbfff35/com.walmart.android_v24.10.2-24100237_Android-8.0.apk,apks/walmart-androidapksfree/walmart_24100237_24.10.2.apk,APK,129783902,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_24100237_24.10.2.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.walmart.android,24.19,24190029,AndroidAPKsFree,,"June 3, 2024",https://r-static-assets.androidapksfree.net/rdata/1a5e45263e0167c236b8b83c16a5fc91/com.walmart.android_v24.19-24190029_Android-8.0.apk,apks/walmart-androidapksfree/walmart_24190029_24.19.apk,APK,143452996,arm64-v8a;armeabi-v7a;x86;x86_64,"APK;x86_64,x86,armeabi-v7a,arm64-v8a;nodpi",,walmart_24190029_24.19.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
